time,V
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0,3.5
0.01,3.5
0.01,3.5
0.01,3.51
0.01,3.51
0.02,3.51
0.02,3.52
0.04,3.56
0.08,3.7
0.15,4.22
0.25,5.29
0.35,6.81
0.45,8.81
0.55,11.29
0.65,14.25
0.75,17.67
0.85,21.55
0.95,25.9
1.05,30.7
1.15,35.95
1.25,41.65
1.35,47.78
1.45,54.36
1.55,61.36
1.65,68.79
1.85,84.87
2,98.03
2.58,148.32
3.16,196.14
3.73,241.51
4.31,284.42
4.88,324.86
5.46,362.85
6.03,398.38
6.95,450.41
7.86,498.73
8.77,543.34
9.69,584.24
10.6,621.43
11.52,654.9
12.43,684.66
13.35,712.1
14.26,737.58
15.17,761.1
16.09,782.67
17,802.27
17.92,819.92
18.83,835.62
19.28,843.03
19.74,850.15
20.19,856.98
20.64,863.51
21.09,869.75
21.55,875.69
22,881.34
22.08,882.07
22.16,882.51
22.24,882.64
22.31,882.48
22.39,882.03
22.47,881.27
22.55,880.22
22.85,873.44
23.01,867.87
23.18,861.1
23.34,853.14
23.51,844
23.67,833.66
23.84,822.14
24,809.43
24,809.41
24,809.44
24,809.44
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.43
24,809.42
24,809.41
24,809.41
24,809.4
24,809.4
24,809.39
24,809.39
24.92,740.06
25.83,675.68
26.75,616.26
27.66,561.78
28.58,512.26
29.49,467.68
30.41,428.05
31.32,391.58
32.24,357.7
33.15,326.43
34.07,297.76
34.98,271.69
35.9,248.23
36.81,227.36
37.27,217.44
37.72,207.91
38.18,198.77
38.63,190.04
39.09,181.7
39.54,173.76
40,166.21
40.15,164.5
40.3,163.84
40.44,164.25
40.59,165.72
40.74,168.24
40.89,171.83
41.04,176.48
41.24,184.35
41.54,199.57
41.84,218.74
42,230.87
42.76,287.06
43.53,339.78
44.29,389.01
45.06,434.78
45.82,477.06
46.59,515.86
47.35,551.19
48.26,590.09
49.18,626.22
50.09,659.58
51.01,690.16
51.92,717.96
52.84,742.99
53.75,765.24
54.66,785.75
55.58,804.8
56.49,822.39
57.41,838.51
58.32,853.17
59.24,866.37
60.15,878.1
60.4,881.21
60.65,884.24
60.9,887.2
61.15,890.09
61.4,892.9
61.65,895.64
61.9,898.32
62,899.37
62,899.37
62,899.37
62,899.37
62,899.37
62,899.37
62.02,899.58
62.04,899.75
62.07,899.91
62.09,900.03
62.11,900.13
62.13,900.2
62.15,900.24
62.25,900.21
62.35,899.7
62.55,897.21
62.85,889.87
63.02,884.02
63.18,876.99
63.35,868.78
63.51,859.4
63.67,848.84
63.84,837.1
64,824.19
64.9,754.46
65.81,689.67
66.71,629.79
67.61,574.85
68.52,524.83
69.42,479.74
70.32,439.57
71.24,402.11
72.15,367.31
73.07,335.19
73.98,305.74
74.89,278.97
75.81,254.87
76.72,233.44
77.19,222.97
77.66,212.94
78.13,203.33
78.6,194.16
79.06,185.41
79.53,177.08
80,169.19
80.16,167.31
80.33,166.74
80.49,167.47
80.66,169.5
80.82,172.84
80.99,177.48
81.15,183.42
81.45,197.41
81.75,215.42
82,233.31
82.76,289.32
83.53,341.87
84.29,390.96
85.06,436.57
85.82,478.72
86.59,517.4
87.35,552.62
88.35,595.57
89.26,630.67
90.18,663.25
91.09,693.34
92.01,720.92
92.92,746
93.84,768.57
94.75,788.64
95.66,807.14
96.58,824.33
97.49,840.19
98.41,854.73
99.32,867.96
100.24,879.86
101.15,890.44
102,899.7
102.21,900.56
102.41,899.4
102.62,896.21
102.83,890.99
103.04,883.75
103.24,874.49
103.45,863.2
104,824.46
104.91,754.44
105.81,689.38
106.72,629.29
107.63,574.17
108.54,524
109.44,478.8
110.35,438.56
111.26,401.18
112.18,366.47
113.09,334.42
114.01,305.04
114.92,278.33
115.84,254.28
116.75,232.9
