time,V
0.0,3.5
1.0,15.784313725490197
2.0,50.65
3.0,105.99999999999999
4.0,179.22727272727275
5.0,257.2857142857143
6.0,329.0
7.0,393.2857142857143
8.0,451.8571428571429
9.0,503.7252747252747
10.0,550.7528089887641
11.0,595.3333333333334
12.0,633.6
13.0,667.7777777777778
14.0,700.5555555555555
15.0,729.6666666666666
16.0,755.8888888888889
17.0,779.6666666666666
18.0,801.0
19.0,819.0
20.0,837.5555555555555
21.0,853.1111111111111
22.0,868.0
23.0,880.8888888888889
24.0,892.5555555555555
25.0,903.0
26.0,912.3333333333334
27.0,921.2222222222222
28.0,929.2222222222222
29.0,936.0
30.0,942.6666666666666
31.0,949.0
32.0,953.8888888888889
33.0,958.3333333333334
34.0,962.7777777777778
35.0,966.6666666666666
36.0,970.0
37.0,973.3333333333334
38.0,976.4
39.0,978.7777777777778
40.0,981.0
41.0,983.25
42.0,985.5
43.0,987.75
44.0,989.0
45.0,977.0
46.0,943.7500000000001
47.0,892.6000000000001
48.0,818.0
49.0,740.8888888888888
50.0,670.6666666666665
51.0,605.6666666666669
52.0,547.2222222222223
53.0,494.99999999999994
54.0,450.99999999999994
55.0,410.33333333333326
56.0,370.7777777777778
57.0,335.4444444444445
58.0,303.0
59.0,273.3333333333333
60.0,247.79999999999995
61.0,226.55555555555551
62.0,205.00000000000006
63.0,185.8888888888889
64.0,168.11111111111117
65.0,151.66666666666666
66.0,137.66666666666669
67.0,125.40000000000003
68.0,114.11111111111106
69.0,104.0
70.0,93.80000000000004
71.0,84.97777777777776
72.0,77.06666666666666
73.0,69.97777777777776
74.0,64.05
75.0,58.566666666666684
76.0,53.233333333333334
77.0,48.433333333333344
78.0,44.03333333333332
79.0,40.1
80.0,36.7
81.0,46.9
82.0,80.0
83.0,133.66666666666697
84.0,202.0
85.0,279.285714285714
86.0,345.7499999999998
87.0,408.9999999999998
88.0,467.2857142857145
89.0,520.0
90.0,562.0
91.0,603.9999999999998
92.0,643.3333333333334
93.0,678.6666666666666
94.0,710.0000000000001
95.0,738.3333333333333
96.0,762.0
97.0,785.0000000000001
98.0,805.8
99.0,824.3333333333334
100.0,845.0
101.0,859.0
102.0,872.0
103.0,884.0
104.0,894.0
105.0,903.0
106.0,912.0
107.0,920.0
108.0,934.0
109.0,940.0
110.0,946.0
111.0,951.0
112.0,956.0
113.0,960.0
114.0,964.0
115.0,967.0
116.0,971.0
117.0,973.0
118.0,978.0
119.0,981.0
120.0,983.0
121.0,985.0
122.0,986.0
123.0,988.0
124.0,989.0
125.0,975.0
126.0,941.0
127.0,888.0
128.0,818.0
129.0,748.0
130.0,684.0
131.0,624.0
132.0,570.0
133.0,475.0
134.0,435.0
135.0,398.0
136.0,364.0
137.0,332.0
138.0,303.0
139.0,276.0
140.0,252.0
141.0,231.0
142.0,212.0
143.0,177.0
144.0,161.0
145.0,147.0
146.0,135.0
147.0,123.0
148.0,113.0
149.0,104.0
150.0,94.8
151.0,86.7
152.0,79.3
